Codigo;Estacao;CodigoAdicional;Latitude;Longitude;Altitude;AreaDrenagem;TipoEstacao;Bacia;BaciaCodigo;SubBacia;SubBaciaCodigo;RioCodigo;Rio;Jurisdicao;EstadoNome;EstadoSigla;EstadoCodigo;MunicipioCodigo;Municipio;OperadoraCodigo;OperadoraSigla;OperadoraNome;ResponsavelCodigo;ResponsavelSigla;ResponsavelNome
10074800;REQUENA;250101;-5,03;-73,83;200;4738;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000070;RIO UCAYALI;3;PERU;PU;66;6,6e+07;PERU;906;SENAMHI-PERU;Servicio Nacional de Meteorologia e Hidrologia del Perú;906;SENAMHI-PERU;Servicio Nacional de Meteorologia e Hidrologia del Perú
10045000;CONTAMANA;231301;-7,35;-75;134;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000070;RIO UCAYALI;3;PERU;PU;66;6,6e+07;PERU;906;SENAMHI-PERU;Servicio Nacional de Meteorologia e Hidrologia del Perú;906;SENAMHI-PERU;Servicio Nacional de Meteorologia e Hidrologia del Perú
10047000;LAGARTO;NA;-10,6;-73,87;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000070;RIO UCAYALI;3;PERU;PU;66;6,6e+07;PERU;906;SENAMHI-PERU;Servicio Nacional de Meteorologia e Hidrologia del Perú;906;SENAMHI-PERU;Servicio Nacional de Meteorologia e Hidrologia del Perú
10046000;PUCALLPA;NA;-8,39;-74,52;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000070;RIO UCAYALI;3;PERU;PU;66;6,6e+07;PERU;906;SENAMHI-PERU;Servicio Nacional de Meteorologia e Hidrologia del Perú;906;SENAMHI-PERU;Servicio Nacional de Meteorologia e Hidrologia del Perú
10048000;ATALAYA;NA;-10,69;-73,79;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000070;RIO UCAYALI;3;PERU;PU;66;6,6e+07;PERU;906;SENAMHI-PERU;Servicio Nacional de Meteorologia e Hidrologia del Perú;906;SENAMHI-PERU;Servicio Nacional de Meteorologia e Hidrologia del Perú
10052000;SEDA LORETO;240105;-3,69;-73,23;100;16700;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000080;RIO NANAY;3;PERU;PU;66;6,6e+07;PERU;906;SENAMHI-PERU;Servicio Nacional de Meteorologia e Hidrologia del Perú;906;SENAMHI-PERU;Servicio Nacional de Meteorologia e Hidrologia del Perú
10017100;LA SOFIA (PUENTE);DHN-CNAP-01;0,35;-77,64;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10012650;DIEZ DE AGOSTO SECTOR AUGUSTO RIVADENEIRA;DHN-CNAP-17;-1,4;-77,86;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10012500;PANO SECTOR CERRO QUILINDAÑA;DHN-CNAP-14;-0,83;-78,31;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10012957;UNION DEL RIO TENA CON EL PANO;SC-19;-0,99;-77,81;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10013710;RIO LUMBAQUI EN PUENTE;SC-2;-0,04;-77,33;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10018000;NUEVA LOJA;HB-23;0,04;-76,8;299;4600;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10013000;COSANGA AJ QUIJOS;H-731;-0,49;-77,86;1740;492;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10013550;SAN FRANCISCO DE BORJA SECTOR MINAS DE SUMACO;DHN-CNAP-10;-0,03;-77,83;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10013700;YANAHURCO DJ VALLE;H-722;-0,69;-77,27;3590;87;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10013400;QUIJOS DJ OYACACHI;H-719;-0,3;-77,77;1490;2510;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10018300;CUYABENO SECTOR RESERVA DE CUYABENO (PUENTE);DHN-CNAP-07;-0,03;-76,31;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10017500;NUEVA LOJA SECTOR LA PISTA;DHN-CNAP-25;0,1;-76,86;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10013300;QUIJOS AJ BORJA;H-733;-0,4;-77,83;1635;1530;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
